algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
RR,81,1,100,25,95.60,23225.63,23605.50,5164.93,3494.32,2844.00,3118.92,22459.19,22803.00,5126.81,3.03,1.00,3.70
FCFS,0,1,100,25,98.01,23426.63,25849.00,5085.58,2965.97,2789.50,1769.72,22666.36,25083.00,5082.72,3.13,1.00,4.68
SJF,0,1,100,25,97.94,13809.09,13676.00,8232.06,5100.66,216.00,7542.34,13048.51,13441.00,5850.17,3.13,3.00,1.56
RR,81,2,100,25,94.44,23884.09,23859.00,4972.38,3462.47,2815.50,3185.79,23120.90,23148.00,4946.34,3.03,1.00,3.92
FCFS,0,2,100,25,96.44,23865.22,26304.50,5180.14,3023.08,2864.00,1799.22,23104.07,25531.50,5173.96,3.03,1.00,4.65
SJF,0,2,100,25,96.25,15004.40,14309.00,8092.71,4615.27,119.00,7301.67,14242.56,14423.50,5905.82,3.03,3.00,1.74
RR,81,3,100,25,92.66,24459.12,24730.50,4971.23,3329.88,2810.50,3068.18,23695.52,23943.50,4950.59,2.94,1.00,3.86
FCFS,0,3,100,25,94.90,24358.12,26812.00,5210.04,3074.32,2957.50,1830.77,23597.20,25994.50,5195.94,3.03,1.00,4.48
SJF,0,3,100,25,94.83,15223.11,15000.50,8271.63,4022.51,141.50,6967.39,14461.87,15020.00,6276.24,3.03,3.00,1.57
RR,81,4,100,25,90.75,24834.60,25019.50,5040.08,3895.92,3154.00,3516.78,24071.33,24332.00,4992.87,2.86,1.00,3.57
FCFS,0,4,100,25,93.38,24892.46,27344.50,5159.00,3155.93,3040.50,1885.64,24129.87,26525.50,5168.50,2.94,1.00,4.53
SJF,0,4,100,25,92.61,15351.17,15631.50,8284.75,4807.40,161.50,7489.55,14588.05,15765.50,6410.00,2.94,3.00,1.63
RR,81,5,100,25,89.10,25133.23,25464.50,5724.65,3755.71,3280.50,3128.56,24369.36,24715.50,5687.93,2.86,1.00,3.90
FCFS,0,5,100,25,91.90,25302.90,27798.50,5253.47,3210.25,3081.50,1922.60,24541.34,26957.50,5243.40,2.94,1.00,4.44
SJF,0,5,100,25,91.72,15779.05,15798.50,8683.38,3891.60,107.00,6292.99,15018.44,15697.50,6156.34,2.94,3.00,1.43
RR,81,1,100,36,96.08,22893.87,23000.00,4029.40,3181.02,2963.50,2344.10,22107.51,22294.50,4002.13,3.13,1.50,4.21
FCFS,0,1,100,36,97.91,23278.75,25151.00,3806.40,2826.84,2863.00,1432.36,22493.92,24360.50,3801.97,3.23,1.00,5.35
SJF,0,1,100,36,97.36,14886.25,14780.00,7591.03,3053.13,97.00,5699.30,14101.41,13773.00,5613.00,3.23,3.00,1.96
RR,81,2,100,36,93.81,23799.34,23973.50,4317.64,3569.78,3055.50,2973.27,23011.53,23207.00,4303.22,3.13,1.00,4.33
FCFS,0,2,100,36,96.25,23706.12,25597.50,3851.72,2883.75,2927.00,1468.30,22921.72,24777.50,3860.91,3.23,1.00,5.30
SJF,0,2,100,36,95.68,14829.78,15338.00,7992.98,4436.38,155.50,7076.81,14046.26,13624.00,5763.73,3.13,3.00,1.60
RR,81,3,100,36,92.14,24318.92,24467.50,4250.35,3365.17,3084.00,2556.29,23531.96,23650.50,4239.68,3.03,1.00,4.30
FCFS,0,3,100,36,94.60,24083.49,25994.50,3901.15,2933.18,2983.00,1497.02,23300.56,25127.00,3916.66,3.13,1.00,5.11
SJF,0,3,100,36,94.11,15382.91,15562.00,8027.35,3930.55,158.00,6328.06,14598.79,14273.00,5925.61,3.13,3.00,1.54
RR,81,4,100,36,90.42,24536.76,24718.50,4231.25,3465.93,3212.50,2688.99,23749.91,23962.00,4234.87,3.03,1.00,4.10
FCFS,0,4,100,36,93.09,24691.69,26594.00,4013.17,3000.63,3060.50,1538.53,23905.26,25808.00,4027.15,3.03,1.00,5.07
SJF,0,4,100,36,91.89,15602.06,15864.50,8351.45,4799.94,157.00,7237.14,14815.61,14915.50,6035.98,3.03,3.00,1.47
RR,81,5,100,36,88.96,25092.80,25237.50,4521.33,3569.04,3247.00,2818.27,24307.01,24449.00,4509.37,2.94,1.00,3.98
FCFS,0,5,100,36,91.51,25477.27,27413.50,4134.10,3085.94,3163.00,1589.65,24683.53,26642.50,4141.61,3.03,1.00,5.14
SJF,0,5,100,36,91.56,15508.11,15209.50,8298.74,5039.54,166.00,7504.93,14722.13,15137.00,5832.00,3.03,3.00,1.65
