algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
RR,72,3,75,25,91.67,18330.76,19254.00,4449.02,3054.41,2511.00,2583.56,17567.23,18511.00,4417.37,2.88,1.50,3.47
RR,73,3,75,25,91.53,18929.20,20016.00,4058.47,2714.71,2369.00,2263.03,18164.81,19249.00,4015.49,2.88,1.00,3.65
RR,74,3,75,25,91.66,19164.40,19982.00,3765.25,2739.53,2383.00,2272.08,18401.03,19186.00,3712.18,2.88,1.50,3.79
RR,75,3,75,25,92.37,18409.31,18805.00,3878.21,2516.52,2392.00,2263.55,17646.43,18051.00,3850.42,2.88,1.50,3.58
RR,76,3,75,25,92.42,18581.19,18836.00,3848.17,2491.29,2048.00,2238.84,17818.85,18088.00,3809.07,2.88,1.00,3.66
RR,77,3,75,25,92.48,18476.12,18856.00,3969.98,2677.43,2390.00,2491.96,17713.60,18205.00,3939.83,2.88,1.00,3.81
RR,78,3,75,25,92.53,18226.93,18575.00,4089.98,2747.89,2454.00,2548.60,17464.15,17849.00,4046.32,2.88,1.00,3.50
RR,79,3,75,25,92.47,18233.35,18507.00,4137.39,2852.73,2423.00,2786.70,17470.37,17831.00,4089.06,2.88,1.00,3.50
RR,80,3,75,25,92.49,18575.15,18914.00,3849.95,2608.16,2305.00,2485.44,17812.25,18189.00,3805.54,2.88,1.00,3.79
RR,81,3,75,25,92.56,17973.60,18241.00,4312.20,2885.77,2397.00,2810.35,17212.01,17659.00,4263.51,2.88,1.50,3.58
RR,82,3,75,25,92.62,18590.61,18880.00,3834.52,2707.01,2481.00,2442.37,17828.79,18130.00,3804.53,2.88,1.00,3.89
RR,83,3,75,25,92.40,18270.29,18531.00,4116.17,2764.11,2366.00,2621.28,17507.53,17841.00,4066.42,2.88,1.00,3.44
RR,84,3,75,25,92.49,18689.28,19146.00,3901.72,2908.69,2526.00,2619.72,17926.60,18402.00,3843.71,2.88,1.50,3.79
RR,85,3,75,25,92.32,18740.64,19126.00,3774.75,2859.43,2541.00,2560.22,17977.84,18410.00,3722.95,2.88,1.50,3.88
RR,86,3,75,25,92.52,18468.75,18701.00,3849.35,2854.05,2405.00,2618.38,17706.48,18000.00,3793.59,2.88,1.00,3.49
RR,87,3,75,25,92.49,18732.01,18912.00,3674.16,2750.80,2411.00,2546.14,17969.68,18162.00,3619.82,2.88,1.00,4.02
RR,88,3,75,25,92.46,18914.05,19225.00,3708.51,2631.28,2421.00,2332.47,18150.72,18503.00,3660.30,2.88,1.00,4.07
RR,89,3,75,25,92.47,18416.77,18603.00,4014.91,2965.40,2576.00,2584.92,17654.04,17905.00,3983.08,2.88,1.00,3.63
RR,90,3,75,25,92.45,18577.84,18816.00,3807.40,2877.85,2439.00,2616.21,17814.92,18024.00,3758.55,2.88,1.00,3.68
RR,91,3,75,25,92.42,18509.29,18846.00,3900.92,2899.49,2589.00,2592.32,17745.65,18068.00,3853.38,2.88,1.00,3.54
RR,92,3,75,25,92.33,18837.07,19133.00,3747.05,2824.91,2430.00,2587.29,18073.19,18315.00,3698.43,2.88,1.00,3.67
RR,93,3,75,25,92.49,18607.60,18791.00,4124.85,2787.88,2376.00,2452.46,17845.32,18032.00,4065.16,2.88,1.00,3.87
RR,94,3,75,25,92.46,18641.96,18768.00,3899.93,2792.55,2461.00,2436.86,17878.83,18031.00,3856.46,2.88,1.50,3.58
RR,95,3,75,25,92.43,18684.48,18780.00,3845.11,2940.71,2458.00,2692.24,17921.52,18054.00,3789.41,2.88,1.50,3.50
RR,96,3,75,25,92.47,18638.79,18840.00,4059.57,2778.76,2353.00,2368.21,17875.00,18166.00,4027.33,2.88,1.00,3.71
RR,97,3,75,25,92.52,18478.08,18566.00,4163.04,2920.85,2488.00,2626.68,17715.55,17852.00,4096.02,2.88,1.00,3.82
RR,98,3,75,25,92.43,18735.63,18974.00,3849.17,2873.08,2404.00,2553.73,17972.91,18165.00,3813.74,2.88,1.00,3.86
RR,99,3,75,25,92.35,19015.49,19144.00,3623.12,2862.45,2699.00,2353.38,18252.65,18438.00,3590.81,2.88,1.00,4.07
RR,100,3,75,25,93.17,18531.91,19695.00,4049.25,2453.72,2251.00,1848.85,17770.35,19044.00,4026.61,2.88,1.50,4.24
RR,30,3,75,36,86.53,20093.05,21339.00,4258.60,3645.33,2937.00,2991.41,19283.72,20530.00,4173.43,2.68,1.00,3.28
RR,31,3,75,36,86.28,19923.09,20285.00,4009.17,3445.92,2921.00,2783.35,19116.00,19468.00,3924.54,2.68,2.00,3.31
RR,32,3,75,36,86.39,20887.03,22040.00,3690.33,3538.96,2441.00,3103.34,20075.55,21163.00,3618.13,2.68,1.00,3.60
RR,33,3,75,36,86.61,20578.60,20978.00,3683.07,3360.64,2282.00,3141.67,19767.87,20179.00,3625.75,2.68,1.00,3.67
RR,34,3,75,36,87.25,20778.73,21739.00,3576.67,3252.37,2313.00,2478.43,19967.80,20865.00,3498.41,2.68,0.50,4.04
RR,35,3,75,36,87.65,20440.15,20670.00,3282.48,2932.96,2304.00,2284.60,19630.53,19883.00,3242.06,2.78,1.00,3.84
RR,36,3,75,36,87.79,20261.89,20677.00,3060.98,3066.24,2399.00,2392.16,19453.05,19807.00,3000.46,2.78,0.00,3.72
RR,37,3,75,36,87.71,20036.80,21329.00,4066.69,3303.49,2643.00,2585.17,19227.97,20557.00,4012.09,2.78,2.00,3.60
RR,38,3,75,36,88.44,19363.51,19779.00,3738.68,3176.73,2403.00,2803.02,18555.37,18959.00,3714.13,2.78,1.00,3.40
RR,39,3,75,36,88.34,19660.05,20266.00,3571.36,3272.41,2426.00,2748.93,18851.21,19397.00,3546.38,2.78,1.00,3.37
RR,40,3,75,36,88.99,19156.71,19418.00,3762.46,3096.43,2415.00,2501.38,18351.12,18735.00,3702.72,2.78,2.00,3.25
RR,41,3,75,36,88.78,19757.21,20523.00,3643.13,3111.48,2477.00,2471.17,18950.23,19694.00,3614.21,2.78,1.00,3.80
