algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
RR,80,3,10,36,92.08,3220.70,3331.50,359.04,366.50,237.00,404.94,2430.30,2494.50,345.55,2.50,1.00,3.79
FCFS,0,3,10,36,93.93,3201.00,3302.00,221.84,304.30,257.50,228.69,2415.30,2450.50,258.37,2.50,1.00,3.79
SJF,0,3,10,36,92.48,2384.40,2250.00,829.08,525.80,71.00,931.65,1600.20,1760.50,353.92,2.50,3.00,1.73
RR,80,3,10,47,90.32,2879.10,2874.50,292.29,308.70,343.00,202.33,2109.50,2102.00,235.22,2.50,1.00,3.79
FCFS,0,3,10,47,93.33,2787.90,2782.00,100.72,320.00,283.00,229.61,2021.80,2036.00,157.86,2.50,2.00,3.00
SJF,0,3,10,47,88.30,2012.90,2002.00,748.64,477.90,122.00,769.79,1244.90,1435.50,579.52,2.50,3.00,1.91
RR,80,3,10,58,91.52,3161.00,3260.00,505.06,405.90,323.00,332.13,2386.20,2433.00,415.81,2.00,1.00,2.55
FCFS,0,3,10,58,94.60,3143.40,3247.00,367.47,363.10,296.50,211.00,2374.00,2446.00,373.32,2.00,1.00,2.92
SJF,0,3,10,58,91.40,2236.10,2228.50,1066.89,652.00,88.50,1113.63,1467.40,1423.00,535.58,2.00,1.00,2.00
RR,80,3,10,69,89.40,2434.90,2547.00,252.90,259.00,125.50,290.17,1686.50,1745.00,241.45,2.50,1.50,3.32
FCFS,0,3,10,69,92.58,2354.50,2411.50,263.50,216.90,153.50,178.74,1608.00,1608.00,260.02,3.33,1.00,4.93
SJF,0,3,10,69,92.97,1937.00,1899.00,663.70,255.50,81.50,415.04,1190.80,1366.00,486.80,3.33,4.00,3.06
RR,80,3,10,70,91.05,2740.30,2820.00,319.64,373.70,164.00,439.50,1934.40,2089.00,359.63,2.50,2.00,3.00
FCFS,0,3,10,70,93.39,2688.10,2725.50,171.97,265.50,175.00,244.56,1884.40,1951.00,175.51,2.50,2.50,2.89
SJF,0,3,10,70,91.43,1975.90,1792.00,759.75,561.70,64.50,841.74,1170.30,1102.00,279.38,2.50,2.50,1.29
RR,80,3,25,14,91.92,6095.32,6066.00,1092.27,893.96,741.00,914.55,5294.48,5276.00,1029.42,2.78,2.00,3.03
FCFS,0,3,25,14,94.19,6248.76,6605.00,805.15,782.52,723.00,514.17,5448.92,5844.00,820.89,3.13,1.00,5.44
SJF,0,3,25,14,92.79,4110.32,4132.00,1834.44,1311.56,137.00,1911.53,3312.00,3391.00,1217.61,2.78,3.00,1.56
RR,80,3,25,25,91.81,5952.08,6010.00,1166.69,694.88,486.00,768.47,5204.20,5366.00,1150.79,2.78,2.00,3.67
FCFS,0,3,25,25,94.00,5918.64,6519.00,1034.93,758.48,590.00,610.20,5171.24,5699.00,1023.95,3.13,1.50,4.73
SJF,0,3,25,25,94.20,3913.36,3966.00,1978.26,1374.88,95.00,2057.57,3166.60,3001.00,1378.24,3.13,3.50,1.55
RR,80,3,25,36,92.21,6485.24,6433.00,794.86,1104.84,877.00,998.77,5702.56,5653.00,799.40,2.78,1.00,3.90
FCFS,0,3,25,36,94.30,6445.96,6645.00,578.95,923.28,939.00,595.73,5663.56,5806.00,588.90,2.78,0.00,3.83
SJF,0,3,25,36,93.02,4171.32,4319.00,2118.89,1360.04,98.00,2013.97,3390.68,3437.00,1528.24,2.78,3.00,1.72
RR,80,3,25,47,92.17,6704.20,6634.00,1022.87,850.00,712.00,644.84,5913.40,5833.00,972.15,2.78,1.00,4.09
FCFS,0,3,25,47,94.50,6705.12,7068.00,751.01,796.80,831.00,473.46,5916.80,6284.00,766.36,2.78,2.00,3.73
SJF,0,3,25,47,93.60,4504.20,4181.00,2156.36,992.72,87.00,1965.19,3715.16,4078.00,1456.81,2.78,3.00,1.39
RR,80,3,25,58,91.22,7012.56,7418.00,1069.10,1049.96,833.00,1035.02,6226.44,6544.00,1002.26,2.50,1.00,3.87
FCFS,0,3,25,58,94.73,6978.28,7228.00,621.50,800.84,850.00,432.80,6194.80,6426.00,613.76,2.78,0.00,4.24
SJF,0,3,25,58,93.33,4511.72,4445.00,2144.99,1319.56,123.00,2135.77,3727.32,3513.00,1642.44,2.78,2.00,1.79
